City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Slavonice,CZ,72.93,overcast clouds,49.0,15.35,Design Hotel Besídka
387,Bay City,US,73.49,clear sky,43.59,-83.89,DoubleTree by Hilton Hotel Bay City - Riverfront
391,Vrangel,RU,62.38,overcast clouds,42.73,133.08,"Отель ""БАЛИ"""
393,Pisco,PE,65.01,mist,-13.7,-76.22,Hotel San Isidro Oficial
395,Kunming,CN,64.33,scattered clouds,25.04,102.72,Green Land Hotel
397,Atasu,KZ,66.99,clear sky,48.68,71.64,Dostyk
399,Braniewo,PL,59.97,overcast clouds,54.38,19.82,Hotel Warmia
403,Yeppoon,AU,58.78,clear sky,-23.13,150.73,Villa Mar Colina
404,Necochea,AR,65.08,clear sky,-38.55,-58.74,dyd -mar Hotel
405,Alofi,NU,73.29,broken clouds,-19.06,-169.92,Taloa Heights
407,Ulaangom,MN,54.07,overcast clouds,49.98,92.07,Achit Nuur Hotel & Restaurant
410,Hofn,IS,53.62,overcast clouds,64.25,-15.21,Hótel Höfn
413,Mineros,BO,72.99,broken clouds,-17.12,-63.23,Colpacaranda Eco Resort
414,Chumikan,RU,53.53,light rain,54.72,135.31,Fortuna
418,Cairns,AU,66.15,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
422,Touho,NC,65.28,few clouds,-20.78,165.23,Auberge Timay Evasion
423,Cabatuan,PH,74.64,overcast clouds,10.88,122.49,MVC Transient Room
432,Santa Isabel,BR,71.31,light rain,-23.32,-46.22,Chácara Sombra do Altíssimo
433,Zyryanovsk,KZ,55.22,broken clouds,49.74,84.27,Гостиница «ЭВЕРЕСТ»
434,Jiayuguan,CN,68.95,overcast clouds,39.82,98.3,Jiugang Hotel - Jiayuguan
438,Kargil,IN,62.44,clear sky,34.57,76.1,Caravan Sarai
440,Finspang,SE,53.11,light rain,58.71,15.77,Hotel de Geer
441,Cap Malheureux,MU,72.09,clear sky,-19.98,57.61,Pereybere Hotel & Spa
442,Pacific Grove,US,56.88,overcast clouds,36.62,-121.92,Lovers Point Inn
443,Sechura,PE,73.62,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
445,Leh,IN,60.22,clear sky,34.17,77.58,Hotel Ladakh Greens
446,Tongliao,CN,57.27,scattered clouds,43.61,122.27,Meirujia Hotel
447,Curup,ID,68.16,light rain,-3.47,102.53,Rumah michiels
448,San Jeronimo,PE,59.47,scattered clouds,-11.95,-75.28,Tuki Llajta Pueblo Bonito Eco Lodge
449,Arica,CL,60.35,overcast clouds,-18.48,-70.3,Hostal Jardin Del Sol
456,Lima,PE,59.25,overcast clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
458,Cedar City,US,72.39,clear sky,37.68,-113.06,Hampton Inn Cedar City
464,Salawagan,PH,71.44,light rain,7.71,125.11,Violeta B. Cardona
475,Barabai,ID,72.55,overcast clouds,-2.58,115.38,Joko Homestay
476,Malibu,US,65.79,clear sky,34.01,-118.81,Malibu Country Inn
477,Zhoucun,CN,70.52,light rain,36.82,117.82,Zibo Changxin Hotel
482,Namibe,AO,65.73,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
487,Rognan,NO,53.89,overcast clouds,67.1,15.39,Rognan Hotell
489,Elliot Lake,CA,66.29,clear sky,46.38,-82.63,Paris Plaza
490,Lianzhou,CN,74.61,light rain,24.78,112.38,Qingcheng Tourism Industry
491,Richards Bay,ZA,64.17,moderate rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
497,Riviere-Au-Renard,CA,66.49,few clouds,49.0,-64.4,Auberge Le Caribou
501,Darhan,MN,56.86,overcast clouds,49.49,105.92,Buudai Hotel
